docdb_family_id,person_ctry_code,inventor_count
80262672,NO,1
80444018,NO,3
80444549,NO,2
80444549,US,1
80445993,NO,1
80446150,DE,1
80446150,NO,1
80446273,GB,1
80446273,NO,3
80446273,US,1
80446306,NO,1
80446306,US,7
80446439,NO,4
80446766,NO,3
80446976,NO,2
80447263,NO,2
80447825,NO,1
80448580,NO,2
80448705,AE,1
80448705,DE,1
80448705,NO,1
80448973,NO,1
80449136,GB,5
80449136,NZ,1
80449136,SE,2
80461007,NO,3
80461111,NO,2
80461563,NO,4
80461592,NO,1
80461811,AE,2
80461811,CA,1
80461811,IN,1
80595313,NO,1
80595314,DK,1
80595314,NO,2
80595389,NO,1
80621259,GB,1
80621259,NO,4
80623562,US,3
80623632,NO,2
80623703,NO,2
80623882,NO,3
80623940,NO,1
80624064,NO,1
80624076,NO,2
80625048,NL,1
80625048,NO,4
80625087,NO,1
80625103,NO,2
80625143,NO,2
80625357,NL,1
80625357,NO,1
80625417,NO,3
80625449,NO,1
80625517,NO,1
80625551,NO,1
80628538,BE,1
80628538,NL,1
80628538,NO,3
80628716,BE,1
80628716,NL,1
80628716,NO,3
80628750,NO,3
80678830,ES,1
80683048,NO,4
80683785,NO,3
80683785,SA,1
80685467,NO,3
80735848,FR,5
80735848,NO,1
80736019,NO,2
80736087,FI,1
80736087,NO,2
80736087,US,2
80736130,DE,1
80736130,FR,1
80736130,NO,2
80738728,DE,1
80738728,GB,1
80738910,NO,2
80775086,NO,4
80775339,IN,1
80780637,GB,1
80780637,NO,1
80780783,NO,2
80780861,CZ,1
80780861,NO,5
80780933,NO,1
80780933,SE,1
80780983,US,1
80785110,NO,5
80785158,AU,1
80785158,NO,4
80785278,NO,2
80786602,NO,1
80786614,NO,1
80786739,NO,1
80786896,NO,2
80820274,BE,1
80820274,NO,2
80820305,NO,1
80820747,NO,3
80820780,GB,1
80820780,NO,1
80820867,NO,1
80820998,GB,1
80820998,NO,1
80857203,NO,2
80928957,ES,3
80928957,NL,2
80930375,NO,3
80930421,US,2
80930561,KR,1
80930561,NO,1
80930561,SE,1
80933274,NO,2
80933418,NO,4
80933436,NO,2
80933547,NO,4
80933547,US,1
80933596,NO,2
80933917,NO,2
80934430,NO,3
80934697,FI,3
80937060,NO,1
80937099,NO,1
80937213,NO,3
80937213,SA,1
80937236,US,10
80952372,NO,1
80952377,US,10
80952480,NO,2
80978742,NO,1
80979061,NO,3
80998308,NO,1
81074028,NO,3
81074053,FI,2
81074071,NO,1
81074345,NO,2
81075476,NO,3
81075510,NO,2
81075561,NO,2
81075570,NO,2
81075575,NO,2
81075749,DK,2
81075749,NO,2
81175289,NO,1
81206887,NO,2
81210399,US,5
81213607,NO,1
81213607,SE,1
