docdb_family_id,person_ctry_code,combined_count
80628538,NL,1
80628538,NO,4
80628716,BE,1
80628716,NL,1
80628716,NO,4
80628750,NO,4
80678830,ES,2
80683048,NO,5
80683785,NO,4
80683785,SA,2
80683785,US,1
80685467,NO,4
80735848,FR,6
80735848,NO,1
80736019,CH,1
80736019,NO,2
80736087,FI,1
80736087,NO,2
80736087,US,3
80736130,DE,1
80736130,FR,1
80736130,NO,3
80738728,DE,1
80738728,GB,1
80738728,NO,1
80738910,NO,3
80775086,NO,5
80775339,IN,1
80775339,NO,1
80780637,GB,1
80780637,NO,2
80780783,NO,3
80780861,CZ,1
80780861,NO,6
80780933,NO,2
80780933,SE,1
80780983,NO,1
80780983,US,1
80785110,NO,6
80785158,AU,1
80785158,NO,5
80785278,NO,3
80786602,NO,1
80786602,US,1
80786614,NO,2
80786739,NO,2
80786896,MT,1
80786896,NO,2
80820274,BE,1
80820274,NL,1
80820274,NO,3
80820305,NO,2
80820747,GB,1
80820747,NO,3
80820780,GB,2
80820780,NO,1
80820867,NO,2
80820998,GB,2
80820998,NO,1
80857203,NO,3
80928957,ES,3
80928957,NL,2
80928957,NO,1
80930375,NO,4
80930421,NO,1
80930421,US,2
80930561,KR,1
80930561,NO,2
80930561,SE,1
80933274,NO,3
80933418,NO,5
80933436,NO,3
80933547,NO,5
80933547,US,1
80933596,NO,3
80933917,NO,3
80934430,NO,4
80934697,FI,3
80934697,NO,1
80937060,NO,2
80937099,NO,2
80937213,NO,4
80937213,SA,2
80937213,US,1
80937236,US,12
80952372,NO,2
80952377,US,12
80952480,NO,3
80978742,NO,2
80979061,NO,4
80998308,NO,2
81074028,NO,4
81074053,FI,2
81074053,NO,1
81074071,FR,1
81074071,NO,1
81074345,NO,3
81075476,NO,4
81075510,NO,3
81075561,NO,3
81075570,NO,3
81075575,NO,3
81075749,DK,2
81075749,NO,3
81175289,NO,2
81206887,NO,3
81210399,NO,1
81210399,US,5
81213607,NO,2
81213607,SE,1
81214495,NO,2
81254777,GB,2
81254777,NO,1
81254791,NO,1
81254791,US,1
81254903,NO,3
81254906,NO,3
81254952,NO,3
81306665,NO,5
81306788,NO,2
81306981,NO,3
81307288,FR,1
81307288,NO,2
81307311,NO,4
81307324,FR,1
81307324,NO,2
81307492,CH,1
81307492,NO,1
81308050,BE,1
81308050,NO,1
81308176,NO,2
81308272,DE,1
81308272,NO,6
81308553,NO,2
81308594,DE,1
81308594,NO,3
81324982,NO,7
81325430,NO,2
81325431,NO,2
81325431,RU,2
81325566,NO,2
81325759,NO,2
81326046,DE,3
81326046,NO,1
81326128,NO,4
81326488,NO,3
81326591,FI,1
81326591,IT,1
81326591,NO,1
81326591,US,3
81326879,NO,2
81327303,GB,6
81327303,NO,2
81327653,NO,2
81328115,US,4
81328199,NO,3
81328200,NO,2
81344328,NO,2
81344337,NO,3
81344483,NO,1
81344483,US,2
81344503,NO,2
81344859,GB,2
81344859,NO,1
81344898,GB,2
81344898,NO,1
81346368,NO,2
81346577,NO,2
81380893,GB,1
81380893,NO,6
81384634,NO,1
81384634,US,3
81384760,NO,2
81384781,FI,3
81384781,NO,1
81385111,NO,1
81385111,SE,2
81386561,IN,1
81386561,US,4
81386647,NO,4
81386668,NO,4
81386760,DE,2
81386760,NO,2
81387099,NO,2
81388934,FR,1
81388934,NO,4
81388984,NO,11
81388984,US,3
81389003,NO,1
81389003,US,4
81389076,NO,1
81389076,US,3
81389079,FR,1
81389079,NO,7
81393173,NO,2
81448479,NO,3
81448479,SG,2
81448632,US,2
81448725,NO,2
81448775,NO,4
81448897,NO,2
81449275,GB,2
81449275,NO,1
81449402,NO,3
81454746,CH,1
81454746,NO,1
81454746,SE,2
81579630,IT,1
81579630,NZ,2
81579630,US,1
81579635,NO,2
81580154,NO,5
81580233,NO,2
81580270,NO,5
81580295,NO,5
81580517,NO,3
81580604,NO,2
81580827,FR,1
81580827,NO,1
81580827,SE,1
81580920,NO,3
81581049,FR,1
81581049,NO,1
81581049,SE,1
81581143,FR,1
81581143,NO,1
81581143,SE,1
81581549,NO,5
81585230,NO,1
81585277,NO,2
81585445,NO,5
81585564,NO,2
81587255,NO,4
81588616,NO,3
81588790,NO,3
81595818,NO,7
81595823,FR,1
81595823,NO,2
81597845,NO,2
81597914,NO,3
81598064,NO,2
81603506,NO,2
81603615,NO,3
81603727,NO,4
81603820,NO,3
81648083,GB,1
81648083,NO,2
81648377,CA,4
81648377,GB,2
81648377,NO,1
81648377,US,1
81648668,NO,2
81648712,NO,1
81648712,PL,1
81648712,US,4
81648753,NO,2
81648756,US,7
81653119,NO,3
81653470,NO,4
81653638,FI,1
81653638,NO,2
81654569,CA,2
81654569,NO,1
81654569,US,1
81654639,FR,1
81654639,NO,3
81654666,NO,1
81654666,SE,4
81654701,LT,1
81654701,NO,1
81654754,NO,1
81654754,US,6
81654963,FI,1
81654963,NO,2
81656899,NO,5
81658941,NO,2
81722278,NO,2
81748288,NO,2
81748332,NO,2
81748534,DE,1
81748534,NO,1
81748566,GB,1
81748566,NO,3
81748742,BR,7
81748742,FR,1
